familia_o_par,archivo_1,archivo_2,pilar,similitud_jaccard,estado_umbral,observacion
Par intra-pilar P10: JEV-P10-004 vs JEV-P10-016,JEV-P10-004,JEV-P10-016,P10,0.3102,APROBADO (<0.50),Shingles compartidos: 259 de 835 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-004 vs JEV-P10-017,JEV-P10-004,JEV-P10-017,P10,0.2991,APROBADO (<0.50),Shingles compartidos: 256 de 856 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-004 vs JEV-P10-018,JEV-P10-004,JEV-P10-018,P10,0.3043,APROBADO (<0.50),Shingles compartidos: 259 de 851 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-004 vs JEV-P10-019,JEV-P10-004,JEV-P10-019,P10,0.3013,APROBADO (<0.50),Shingles compartidos: 257 de 853 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-004 vs JEV-P10-020,JEV-P10-004,JEV-P10-020,P10,0.2915,APROBADO (<0.50),Shingles compartidos: 258 de 885 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-005 vs JEV-P10-006,JEV-P10-005,JEV-P10-006,P10,0.2980,APROBADO (<0.50),Shingles compartidos: 256 de 859 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-005 vs JEV-P10-007,JEV-P10-005,JEV-P10-007,P10,0.2922,APROBADO (<0.50),Shingles compartidos: 258 de 883 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-005 vs JEV-P10-008,JEV-P10-005,JEV-P10-008,P10,0.2949,APROBADO (<0.50),Shingles compartidos: 258 de 875 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-005 vs JEV-P10-009,JEV-P10-005,JEV-P10-009,P10,0.2966,APROBADO (<0.50),Shingles compartidos: 258 de 870 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-005 vs JEV-P10-010,JEV-P10-005,JEV-P10-010,P10,0.3041,APROBADO (<0.50),Shingles compartidos: 260 de 855 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-005 vs JEV-P10-011,JEV-P10-005,JEV-P10-011,P10,0.2998,APROBADO (<0.50),Shingles compartidos: 259 de 864 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-005 vs JEV-P10-012,JEV-P10-005,JEV-P10-012,P10,0.2988,APROBADO (<0.50),Shingles compartidos: 257 de 860 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-005 vs JEV-P10-013,JEV-P10-005,JEV-P10-013,P10,0.2997,APROBADO (<0.50),Shingles compartidos: 258 de 861 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-005 vs JEV-P10-014,JEV-P10-005,JEV-P10-014,P10,0.2941,APROBADO (<0.50),Shingles compartidos: 257 de 874 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-005 vs JEV-P10-015,JEV-P10-005,JEV-P10-015,P10,0.2990,APROBADO (<0.50),Shingles compartidos: 258 de 863 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-005 vs JEV-P10-016,JEV-P10-005,JEV-P10-016,P10,0.3069,APROBADO (<0.50),Shingles compartidos: 259 de 844 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-005 vs JEV-P10-017,JEV-P10-005,JEV-P10-017,P10,0.2975,APROBADO (<0.50),Shingles compartidos: 257 de 864 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-005 vs JEV-P10-018,JEV-P10-005,JEV-P10-018,P10,0.3012,APROBADO (<0.50),Shingles compartidos: 259 de 860 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-005 vs JEV-P10-019,JEV-P10-005,JEV-P10-019,P10,0.3012,APROBADO (<0.50),Shingles compartidos: 259 de 860 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-005 vs JEV-P10-020,JEV-P10-005,JEV-P10-020,P10,0.2886,APROBADO (<0.50),Shingles compartidos: 258 de 894 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-006 vs JEV-P10-007,JEV-P10-006,JEV-P10-007,P10,0.2944,APROBADO (<0.50),Shingles compartidos: 257 de 873 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-006 vs JEV-P10-008,JEV-P10-006,JEV-P10-008,P10,0.2986,APROBADO (<0.50),Shingles compartidos: 258 de 864 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-006 vs JEV-P10-009,JEV-P10-006,JEV-P10-009,P10,0.2973,APROBADO (<0.50),Shingles compartidos: 256 de 861 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-006 vs JEV-P10-010,JEV-P10-006,JEV-P10-010,P10,0.3034,APROBADO (<0.50),Shingles compartidos: 257 de 847 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-006 vs JEV-P10-011,JEV-P10-006,JEV-P10-011,P10,0.3006,APROBADO (<0.50),Shingles compartidos: 257 de 855 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-006 vs JEV-P10-012,JEV-P10-006,JEV-P10-012,P10,0.3058,APROBADO (<0.50),Shingles compartidos: 259 de 847 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-006 vs JEV-P10-013,JEV-P10-006,JEV-P10-013,P10,0.3005,APROBADO (<0.50),Shingles compartidos: 256 de 852 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-006 vs JEV-P10-014,JEV-P10-006,JEV-P10-014,P10,0.3008,APROBADO (<0.50),Shingles compartidos: 259 de 861 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-006 vs JEV-P10-015,JEV-P10-006,JEV-P10-015,P10,0.3013,APROBADO (<0.50),Shingles compartidos: 257 de 853 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-006 vs JEV-P10-016,JEV-P10-006,JEV-P10-016,P10,0.3109,APROBADO (<0.50),Shingles compartidos: 259 de 833 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-006 vs JEV-P10-017,JEV-P10-006,JEV-P10-017,P10,0.3028,APROBADO (<0.50),Shingles compartidos: 258 de 852 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-006 vs JEV-P10-018,JEV-P10-006,JEV-P10-018,P10,0.3005,APROBADO (<0.50),Shingles compartidos: 256 de 852 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-006 vs JEV-P10-019,JEV-P10-006,JEV-P10-019,P10,0.3035,APROBADO (<0.50),Shingles compartidos: 258 de 850 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-006 vs JEV-P10-020,JEV-P10-006,JEV-P10-020,P10,0.2922,APROBADO (<0.50),Shingles compartidos: 258 de 883 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-007 vs JEV-P10-008,JEV-P10-007,JEV-P10-008,P10,0.2913,APROBADO (<0.50),Shingles compartidos: 259 de 889 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-007 vs JEV-P10-009,JEV-P10-007,JEV-P10-009,P10,0.2915,APROBADO (<0.50),Shingles compartidos: 258 de 885 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-007 vs JEV-P10-010,JEV-P10-007,JEV-P10-010,P10,0.2974,APROBADO (<0.50),Shingles compartidos: 259 de 871 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-007 vs JEV-P10-011,JEV-P10-007,JEV-P10-011,P10,0.2961,APROBADO (<0.50),Shingles compartidos: 260 de 878 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-007 vs JEV-P10-012,JEV-P10-007,JEV-P10-012,P10,0.2937,APROBADO (<0.50),Shingles compartidos: 257 de 875 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-007 vs JEV-P10-013,JEV-P10-007,JEV-P10-013,P10,0.2945,APROBADO (<0.50),Shingles compartidos: 258 de 876 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-007 vs JEV-P10-014,JEV-P10-007,JEV-P10-014,P10,0.2920,APROBADO (<0.50),Shingles compartidos: 259 de 887 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-007 vs JEV-P10-015,JEV-P10-007,JEV-P10-015,P10,0.2968,APROBADO (<0.50),Shingles compartidos: 260 de 876 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-007 vs JEV-P10-016,JEV-P10-007,JEV-P10-016,P10,0.3015,APROBADO (<0.50),Shingles compartidos: 259 de 859 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-007 vs JEV-P10-017,JEV-P10-007,JEV-P10-017,P10,0.2909,APROBADO (<0.50),Shingles compartidos: 256 de 880 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-007 vs JEV-P10-018,JEV-P10-007,JEV-P10-018,P10,0.2945,APROBADO (<0.50),Shingles compartidos: 258 de 876 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-007 vs JEV-P10-019,JEV-P10-007,JEV-P10-019,P10,0.2916,APROBADO (<0.50),Shingles compartidos: 256 de 878 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-007 vs JEV-P10-020,JEV-P10-007,JEV-P10-020,P10,0.2824,APROBADO (<0.50),Shingles compartidos: 257 de 910 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-008 vs JEV-P10-009,JEV-P10-008,JEV-P10-009,P10,0.2957,APROBADO (<0.50),Shingles compartidos: 259 de 876 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-008 vs JEV-P10-010,JEV-P10-008,JEV-P10-010,P10,0.2986,APROBADO (<0.50),Shingles compartidos: 258 de 864 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-008 vs JEV-P10-011,JEV-P10-008,JEV-P10-011,P10,0.2974,APROBADO (<0.50),Shingles compartidos: 259 de 871 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-008 vs JEV-P10-012,JEV-P10-008,JEV-P10-012,P10,0.2964,APROBADO (<0.50),Shingles compartidos: 257 de 867 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-008 vs JEV-P10-013,JEV-P10-008,JEV-P10-013,P10,0.3032,APROBADO (<0.50),Shingles compartidos: 262 de 864 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-008 vs JEV-P10-014,JEV-P10-008,JEV-P10-014,P10,0.2947,APROBADO (<0.50),Shingles compartidos: 259 de 879 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-008 vs JEV-P10-015,JEV-P10-008,JEV-P10-015,P10,0.3025,APROBADO (<0.50),Shingles compartidos: 262 de 866 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-008 vs JEV-P10-016,JEV-P10-008,JEV-P10-016,P10,0.3090,APROBADO (<0.50),Shingles compartidos: 262 de 848 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-008 vs JEV-P10-017,JEV-P10-008,JEV-P10-017,P10,0.2936,APROBADO (<0.50),Shingles compartidos: 256 de 872 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-008 vs JEV-P10-018,JEV-P10-008,JEV-P10-018,P10,0.3002,APROBADO (<0.50),Shingles compartidos: 260 de 866 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-008 vs JEV-P10-019,JEV-P10-008,JEV-P10-019,P10,0.2957,APROBADO (<0.50),Shingles compartidos: 257 de 869 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-008 vs JEV-P10-020,JEV-P10-008,JEV-P10-020,P10,0.2878,APROBADO (<0.50),Shingles compartidos: 259 de 900 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-009 vs JEV-P10-010,JEV-P10-009,JEV-P10-010,P10,0.3003,APROBADO (<0.50),Shingles compartidos: 258 de 859 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-009 vs JEV-P10-011,JEV-P10-009,JEV-P10-011,P10,0.2976,APROBADO (<0.50),Shingles compartidos: 258 de 867 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-009 vs JEV-P10-012,JEV-P10-009,JEV-P10-012,P10,0.2966,APROBADO (<0.50),Shingles compartidos: 256 de 863 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-009 vs JEV-P10-013,JEV-P10-009,JEV-P10-013,P10,0.3005,APROBADO (<0.50),Shingles compartidos: 259 de 862 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-009 vs JEV-P10-014,JEV-P10-009,JEV-P10-014,P10,0.2919,APROBADO (<0.50),Shingles compartidos: 256 de 877 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-009 vs JEV-P10-015,JEV-P10-009,JEV-P10-015,P10,0.3028,APROBADO (<0.50),Shingles compartidos: 261 de 862 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-009 vs JEV-P10-016,JEV-P10-009,JEV-P10-016,P10,0.3046,APROBADO (<0.50),Shingles compartidos: 258 de 847 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-009 vs JEV-P10-017,JEV-P10-009,JEV-P10-017,P10,0.2953,APROBADO (<0.50),Shingles compartidos: 256 de 867 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-009 vs JEV-P10-018,JEV-P10-009,JEV-P10-018,P10,0.3005,APROBADO (<0.50),Shingles compartidos: 259 de 862 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-009 vs JEV-P10-019,JEV-P10-009,JEV-P10-019,P10,0.2990,APROBADO (<0.50),Shingles compartidos: 258 de 863 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-009 vs JEV-P10-020,JEV-P10-009,JEV-P10-020,P10,0.2865,APROBADO (<0.50),Shingles compartidos: 257 de 897 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-010 vs JEV-P10-011,JEV-P10-010,JEV-P10-011,P10,0.3052,APROBADO (<0.50),Shingles compartidos: 260 de 852 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-010 vs JEV-P10-012,JEV-P10-010,JEV-P10-012,P10,0.3042,APROBADO (<0.50),Shingles compartidos: 258 de 848 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-010 vs JEV-P10-013,JEV-P10-010,JEV-P10-013,P10,0.3035,APROBADO (<0.50),Shingles compartidos: 258 de 850 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-010 vs JEV-P10-014,JEV-P10-010,JEV-P10-014,P10,0.2993,APROBADO (<0.50),Shingles compartidos: 258 de 862 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-010 vs JEV-P10-015,JEV-P10-010,JEV-P10-015,P10,0.3043,APROBADO (<0.50),Shingles compartidos: 259 de 851 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-010 vs JEV-P10-016,JEV-P10-010,JEV-P10-016,P10,0.3141,APROBADO (<0.50),Shingles compartidos: 261 de 831 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-010 vs JEV-P10-017,JEV-P10-010,JEV-P10-017,P10,0.3013,APROBADO (<0.50),Shingles compartidos: 257 de 853 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-010 vs JEV-P10-018,JEV-P10-010,JEV-P10-018,P10,0.3066,APROBADO (<0.50),Shingles compartidos: 260 de 848 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-010 vs JEV-P10-019,JEV-P10-010,JEV-P10-019,P10,0.3020,APROBADO (<0.50),Shingles compartidos: 257 de 851 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-010 vs JEV-P10-020,JEV-P10-010,JEV-P10-020,P10,0.2937,APROBADO (<0.50),Shingles compartidos: 259 de 882 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-011 vs JEV-P10-012,JEV-P10-011,JEV-P10-012,P10,0.3029,APROBADO (<0.50),Shingles compartidos: 259 de 855 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-011 vs JEV-P10-013,JEV-P10-011,JEV-P10-013,P10,0.3007,APROBADO (<0.50),Shingles compartidos: 258 de 858 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-011 vs JEV-P10-014,JEV-P10-011,JEV-P10-014,P10,0.3025,APROBADO (<0.50),Shingles compartidos: 262 de 866 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-011 vs JEV-P10-015,JEV-P10-011,JEV-P10-015,P10,0.3030,APROBADO (<0.50),Shingles compartidos: 260 de 858 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-011 vs JEV-P10-016,JEV-P10-011,JEV-P10-016,P10,0.3095,APROBADO (<0.50),Shingles compartidos: 260 de 840 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-011 vs JEV-P10-017,JEV-P10-011,JEV-P10-017,P10,0.3030,APROBADO (<0.50),Shingles compartidos: 260 de 858 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-011 vs JEV-P10-018,JEV-P10-011,JEV-P10-018,P10,0.3037,APROBADO (<0.50),Shingles compartidos: 260 de 856 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-011 vs JEV-P10-019,JEV-P10-011,JEV-P10-019,P10,0.2977,APROBADO (<0.50),Shingles compartidos: 256 de 860 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-011 vs JEV-P10-020,JEV-P10-011,JEV-P10-020,P10,0.2881,APROBADO (<0.50),Shingles compartidos: 257 de 892 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-012 vs JEV-P10-013,JEV-P10-012,JEV-P10-013,P10,0.2998,APROBADO (<0.50),Shingles compartidos: 256 de 854 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-012 vs JEV-P10-014,JEV-P10-012,JEV-P10-014,P10,0.3016,APROBADO (<0.50),Shingles compartidos: 260 de 862 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-012 vs JEV-P10-015,JEV-P10-012,JEV-P10-015,P10,0.3006,APROBADO (<0.50),Shingles compartidos: 257 de 855 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-012 vs JEV-P10-016,JEV-P10-012,JEV-P10-016,P10,0.3086,APROBADO (<0.50),Shingles compartidos: 258 de 836 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-012 vs JEV-P10-017,JEV-P10-012,JEV-P10-017,P10,0.3036,APROBADO (<0.50),Shingles compartidos: 259 de 853 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-012 vs JEV-P10-018,JEV-P10-012,JEV-P10-018,P10,0.3013,APROBADO (<0.50),Shingles compartidos: 257 de 853 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-012 vs JEV-P10-019,JEV-P10-012,JEV-P10-019,P10,0.3028,APROBADO (<0.50),Shingles compartidos: 258 de 852 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-012 vs JEV-P10-020,JEV-P10-012,JEV-P10-020,P10,0.2915,APROBADO (<0.50),Shingles compartidos: 258 de 885 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-013 vs JEV-P10-014,JEV-P10-013,JEV-P10-014,P10,0.2949,APROBADO (<0.50),Shingles compartidos: 256 de 868 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-013 vs JEV-P10-015,JEV-P10-013,JEV-P10-015,P10,0.3029,APROBADO (<0.50),Shingles compartidos: 259 de 855 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-013 vs JEV-P10-016,JEV-P10-013,JEV-P10-016,P10,0.3094,APROBADO (<0.50),Shingles compartidos: 259 de 837 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-013 vs JEV-P10-017,JEV-P10-013,JEV-P10-017,P10,0.2999,APROBADO (<0.50),Shingles compartidos: 257 de 857 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-013 vs JEV-P10-018,JEV-P10-013,JEV-P10-018,P10,0.3036,APROBADO (<0.50),Shingles compartidos: 259 de 853 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-013 vs JEV-P10-019,JEV-P10-013,JEV-P10-019,P10,0.3006,APROBADO (<0.50),Shingles compartidos: 257 de 855 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-013 vs JEV-P10-020,JEV-P10-013,JEV-P10-020,P10,0.2894,APROBADO (<0.50),Shingles compartidos: 257 de 888 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-014 vs JEV-P10-015,JEV-P10-014,JEV-P10-015,P10,0.2972,APROBADO (<0.50),Shingles compartidos: 258 de 868 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-014 vs JEV-P10-016,JEV-P10-014,JEV-P10-016,P10,0.3035,APROBADO (<0.50),Shingles compartidos: 258 de 850 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-014 vs JEV-P10-017,JEV-P10-014,JEV-P10-017,P10,0.2987,APROBADO (<0.50),Shingles compartidos: 259 de 867 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-014 vs JEV-P10-018,JEV-P10-014,JEV-P10-018,P10,0.2979,APROBADO (<0.50),Shingles compartidos: 258 de 866 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-014 vs JEV-P10-019,JEV-P10-014,JEV-P10-019,P10,0.2979,APROBADO (<0.50),Shingles compartidos: 258 de 866 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-014 vs JEV-P10-020,JEV-P10-014,JEV-P10-020,P10,0.2913,APROBADO (<0.50),Shingles compartidos: 261 de 896 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-015 vs JEV-P10-016,JEV-P10-015,JEV-P10-016,P10,0.3087,APROBADO (<0.50),Shingles compartidos: 259 de 839 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-015 vs JEV-P10-017,JEV-P10-015,JEV-P10-017,P10,0.2977,APROBADO (<0.50),Shingles compartidos: 256 de 860 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-015 vs JEV-P10-018,JEV-P10-015,JEV-P10-018,P10,0.3029,APROBADO (<0.50),Shingles compartidos: 259 de 855 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-015 vs JEV-P10-019,JEV-P10-015,JEV-P10-019,P10,0.3014,APROBADO (<0.50),Shingles compartidos: 258 de 856 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-015 vs JEV-P10-020,JEV-P10-015,JEV-P10-020,P10,0.2902,APROBADO (<0.50),Shingles compartidos: 258 de 889 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-016 vs JEV-P10-017,JEV-P10-016,JEV-P10-017,P10,0.3056,APROBADO (<0.50),Shingles compartidos: 257 de 841 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-016 vs JEV-P10-018,JEV-P10-016,JEV-P10-018,P10,0.3079,APROBADO (<0.50),Shingles compartidos: 258 de 838 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-016 vs JEV-P10-019,JEV-P10-016,JEV-P10-019,P10,0.3048,APROBADO (<0.50),Shingles compartidos: 256 de 840 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-016 vs JEV-P10-020,JEV-P10-016,JEV-P10-020,P10,0.2932,APROBADO (<0.50),Shingles compartidos: 256 de 873 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-017 vs JEV-P10-018,JEV-P10-017,JEV-P10-018,P10,0.2984,APROBADO (<0.50),Shingles compartidos: 256 de 858 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-017 vs JEV-P10-019,JEV-P10-017,JEV-P10-019,P10,0.3014,APROBADO (<0.50),Shingles compartidos: 258 de 856 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-017 vs JEV-P10-020,JEV-P10-017,JEV-P10-020,P10,0.2902,APROBADO (<0.50),Shingles compartidos: 258 de 889 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-018 vs JEV-P10-019,JEV-P10-018,JEV-P10-019,P10,0.3021,APROBADO (<0.50),Shingles compartidos: 258 de 854 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-018 vs JEV-P10-020,JEV-P10-018,JEV-P10-020,P10,0.2923,APROBADO (<0.50),Shingles compartidos: 259 de 886 totales en ventana 5-gram.
Par intra-pilar P10: JEV-P10-019 vs JEV-P10-020,JEV-P10-019,JEV-P10-020,P10,0.2938,APROBADO (<0.50),Shingles compartidos: 260 de 885 totales en ventana 5-gram.
Par intra-pilar P11: JEV-P11-001 vs JEV-P11-002,JEV-P11-001,JEV-P11-002,P11,0.2808,APROBADO (<0.50),Shingles compartidos: 262 de 933 totales en ventana 5-gram.
Par intra-pilar P11: JEV-P11-001 vs JEV-P11-003,JEV-P11-001,JEV-P11-003,P11,0.2859,APROBADO (<0.50),Shingles compartidos: 261 de 913 totales en ventana 5-gram.
Par intra-pilar P11: JEV-P11-001 vs JEV-P11-004,JEV-P11-001,JEV-P11-004,P11,0.2865,APROBADO (<0.50),Shingles compartidos: 261 de 911 totales en ventana 5-gram.
Par intra-pilar P11: JEV-P11-001 vs JEV-P11-005,JEV-P11-001,JEV-P11-005,P11,0.2811,APROBADO (<0.50),Shingles compartidos: 260 de 925 totales en ventana 5-gram.
Par intra-pilar P11: JEV-P11-001 vs JEV-P11-006,JEV-P11-001,JEV-P11-006,P11,0.2845,APROBADO (<0.50),Shingles compartidos: 262 de 921 totales en ventana 5-gram.
Par intra-pilar P11: JEV-P11-001 vs JEV-P11-007,JEV-P11-001,JEV-P11-007,P11,0.2859,APROBADO (<0.50),Shingles compartidos: 265 de 927 totales en ventana 5-gram.
Par intra-pilar P11: JEV-P11-001 vs JEV-P11-008,JEV-P11-001,JEV-P11-008,P11,0.2916,APROBADO (<0.50),Shingles compartidos: 263 de 902 totales en ventana 5-gram.
Par intra-pilar P11: JEV-P11-001 vs JEV-P11-009,JEV-P11-001,JEV-P11-009,P11,0.2805,APROBADO (<0.50),Shingles compartidos: 260 de 927 totales en ventana 5-gram.
Par intra-pilar P11: JEV-P11-001 vs JEV-P11-010,JEV-P11-001,JEV-P11-010,P11,0.2796,APROBADO (<0.50),Shingles compartidos: 262 de 937 totales en ventana 5-gram.
Par intra-pilar P11: JEV-P11-001 vs JEV-P11-011,JEV-P11-001,JEV-P11-011,P11,0.2823,APROBADO (<0.50),Shingles compartidos: 260 de 921 totales en ventana 5-gram.
Par intra-pilar P11: JEV-P11-001 vs JEV-P11-012,JEV-P11-001,JEV-P11-012,P11,0.2865,APROBADO (<0.50),Shingles compartidos: 263 de 918 totales en ventana 5-gram.
Par intra-pilar P11: JEV-P11-001 vs JEV-P11-013,JEV-P11-001,JEV-P11-013,P11,0.2796,APROBADO (<0.50),Shingles compartidos: 260 de 930 totales en ventana 5-gram.
Par intra-pilar P11: JEV-P11-001 vs JEV-P11-014,JEV-P11-001,JEV-P11-014,P11,0.2848,APROBADO (<0.50),Shingles compartidos: 262 de 920 totales en ventana 5-gram.
Par intra-pilar P11: JEV-P11-001 vs JEV-P11-015,JEV-P11-001,JEV-P11-015,P11,0.2831,APROBADO (<0.50),Shingles compartidos: 259 de 915 totales en ventana 5-gram.
Par intra-pilar P11: JEV-P11-001 vs JEV-P11-016,JEV-P11-001,JEV-P11-016,P11,0.2874,APROBADO (<0.50),Shingles compartidos: 265 de 922 totales en ventana 5-gram.
Par intra-pilar P11: JEV-P11-001 vs JEV-P11-017,JEV-P11-001,JEV-P11-017,P11,0.2829,APROBADO (<0.50),Shingles compartidos: 260 de 919 totales en ventana 5-gram.
Par intra-pilar P11: JEV-P11-001 vs JEV-P11-018,JEV-P11-001,JEV-P11-018,P11,0.2868,APROBADO (<0.50),Shingles compartidos: 265 de 924 totales en ventana 5-gram.
Par intra-pilar P11: JEV-P11-001 vs JEV-P11-019,JEV-P11-001,JEV-P11-019,P11,0.2854,APROBADO (<0.50),Shingles compartidos: 260 de 911 totales en ventana 5-gram.
